COUNTRY_ID,TOTAL KG,TOTAL VOLUME,TOTAL PRICE,TOTAL SHIPMENTS,ENGLISH_NAME,code_alpha_3
386,4933.528,9.302137,1075657.54,1155,INDIA,IND
387,11675.740000000002,22.975611999999998,2288244.16,4914,NETHERLANDS,NLD
388,0.05,0.0,363.0,1,HONDURAS,HND
389,2397.706,4.3058510000000005,443912.98,429,HONG KONG,HKG
391,1767.344,3.752904000000001,258019.04000000004,356,IRELAND,IRL
392,70186.204,193.356936,12182040.55,28855,SPAIN,ESP
393,7434.521,9.999927,940541.02,1232,SWEDEN,SWE
394,14308.777999999998,31.151489,2483123.33,4004,SWITZERLAND,CHE
395,24850.307,49.828141,6654420.71,15021,ITALY,ITA
396,38.888000000000005,0.124488,8586.34,10,JAMAICA,JAM
397,13162.438,14.200662000000001,1949792.4200000002,1868,JAPAN,JPN
399,1996.2219999999998,3.314576,583254.85,638,CAMEROON,CMR
400,18201.579999999998,38.220269,6279472.75,9413,CANADA,CAN
402,28989.281000000003,63.156113,4679497.9399999995,5565,QATAR,QAT
403,538.485,1.6558709999999999,128238.85,138,KENYA,KEN
404,138.17399999999998,0.266299,48837.619999999995,95,CYPRUS,CYP
405,3.05,0.003757,2234.0,4,KYRGYZSTAN,KGZ
406,397.23,1.6029470000000001,74539.5,49,COLOMBIA,COL
407,567.03,1.236118,196292.6,272,CONGO,COG
410,8239.558,16.03347,1606019.1,2272,KUWAIT,KWT
411,42.187999999999995,0.197112,14181.17,10,CUBA,CUB
