,CUST_ID,CUST_TYPE,CUST_NAME
264,390,1,CIMA_GREAT BRITAIN
265,391,1,CIMA_IRELAND
266,392,1,CIMA_SPAIN
267,393,1,CIMA_SWEDEN
268,394,1,CIMA_SWITZERLAND
269,395,1,CIMA_ITALY
270,396,1,CIMA_JAMAICA
271,397,1,CIMA_JAPAN
272,399,1,CIMA_CAMEROON
273,402,1,CIMA_QATAR
274,403,1,CIMA_KENYA
275,404,1,CIMA_CYPRUS
276,405,1,CIMA_KYRGYZSTAN
277,406,1,CIMA_COLOMBIA
278,407,1,CIMA_CONGO
279,408,1,"CIMA_KOREA, REPUBLIC OF (SOUTH)"
280,409,1,"CIMA_KOREA, DEMOCRATIC REP. (NORTH)"
281,410,1,CIMA_KUWAIT
282,411,1,CIMA_CUBA
283,412,1,CIMA_LAOS
284,413,1,CIMA_LESHOTO
285,414,1,CIMA_LIBERIA
286,579,1,CIMA_BAHAMAS
287,818,1,CIMA_SDF
288,831,1,CIMA_GYTEST
289,794,1,CIMA_SCOTLAND
290,825,1,CIMA_SAINT MARTIN
291,827,1,CIMA_ISLE OF MAN
292,828,1,CIMA_WESTERN SAHARA
293,829,1,EMS_COTE D'IVOIRE
294,830,1,CIMA_ALAND ISLANDS
295,1114,1,LEAR COORPOTATION TANGER
296,1115,1,AIDMO
297,1116,1,PHARMACIE DE France
298,1117,1,MENARA COLOR
299,1118,1,WINGS LOGISTICS
300,1119,1,BAB ANMIL MAROC SARL
301,1120,1,PROPACKAGING
302,1121,1,DAR AMBAR
303,1122,1,DUCHAMPCOMPAGNIE
304,1123,1,FONDATION ESPRIT DE FES
305,1124,1,SORAYA DIFFUSION
306,1125,1,LARIMODE
307,1126,1,MANDARIN ORIENTAL JNAN RAHMA
308,1127,1,PALACE BUSINESS
309,1128,1,SGAM AI MAROC
310,1129,1,MODATRIC
311,1130,1,MFC (MIDO FOOD COMPANY)
312,1131,1,PREMO MEDITERANEE
313,1132,1,EASY FRET
314,1133,1,RIM COMMERCE
315,1134,1,SOTRAGAZ S.A.
316,1135,1,KAZE VOYAGE
317,1136,1,CMOOA EDITIONS
318,1137,1,CMOOA VENTE AUX ENCHERES
319,1138,1,HORIZONS LUMIERE
320,1139,1,TAZA PANIER
321,1140,1,NARIMEX
322,1141,1,2B.S ASSISTANCE
323,1142,1,BPO SERVICES
324,1143,1,BUROPA
325,1144,1,AH FRET
326,1145,1,STE OUESTRA
327,1146,1,COMANAV FERRY
328,1147,1,ARIAL CONFECTION
329,1148,1,AXIP MAROC
330,1149,1,JAOUAD DEKAKI
331,1150,1,LARINCOF
332,1151,1,LEO MINOR MAROC
333,1152,1,FABRIQUE DE VETEMENTS EN CUIR
334,1153,1,FRINDI TRANSIT
335,1154,1,TRIAL
336,1155,1,PHARMACEUTICAL INSTITUTE
337,1156,1,EDET
338,1157,1,MYRIAM MOURABIT
339,1158,1,RUBAN DU MAGHREB
340,1159,1,ROVATEX
341,1160,1,SKA MODE
342,1161,1,ASWANE CONFECTION
343,1162,1,C2MT
344,1163,1,SKIN
345,1164,1,CNSS
346,1165,1,BIO-OLFACTIVE SERVICE
347,1166,1,MMO
348,1167,1,MALINTECH
349,1168,1,AVAD MAROC
350,1169,1,LARAKI AUTOMOBILES
351,1170,1,FUJIKURA AUTOMOTIVE MOROCCO KENITRA
352,1171,1,SAHMED
353,1172,1,CARREFOUR MEDICAL
354,1173,1,COOPERATION EL ASSALA
355,1174,1,FOSSILE D'ERFOUD
356,1298,1,BAZAR GRANADA
357,1299,1,BAZAR CASABLANCA
358,1300,1,AD COP
359,1301,1,WUSTENSAND
360,1302,1,CHEZ LAHNA
361,1303,1,DAR ZARBIA
362,1304,1,BAZAR MEHDI
363,1305,1,STE CORALINE
364,1306,1,ART OUARZAZATE
365,1307,1,TOUHAFS DE FES
366,1308,1,L'ART MORESQUE
367,1309,1,DIVERSAM
368,1310,1,L'ART DU BRONZE( ARTISANAT)
369,1311,1,PALAIS VIZIR
370,1312,1,ARTISAN DE FES
371,1313,1,COMPTOIRE DE L'ARTISANAT
372,1314,1,EL YOUMN
373,1315,1,DUNE GALLERY
374,1316,1,AUX MERVEILLES DES TAPIS
375,1317,1,BAZAR SILVER JEWELRY
376,1318,1,COTE BOUGIE MARRAKECH
377,1319,1,LE CADEAU BERBER
378,1320,1,NOSA CUIR
379,1321,1,LUMIERES MEDITERRANNENES
380,1322,1,TALAMANZOU
381,1323,1,ESPACE BERBERES
382,1324,1,MODE EVOLUTION
383,1325,1,BAZAR ZAAFARIA
384,1326,1,FLEUR DE PIRATE
385,1327,1,DAR MOULAY DRISS
386,1328,1,BABA ABDERAHMAN
387,1329,1,AU COIN DU BOIS
388,1330,1,MRZOUK ABDELLAH
389,1331,1,LA MAISON TADALAKTT
390,1332,1,ORIGINAL DESIGN
391,1333,1,DAR ESSAAD
392,1334,1,OUMAMASS SAID
393,1335,1,POLIZZI DECOR
394,1336,1,STAG
395,1337,1,JOCKER CUIR
396,1338,1,ART DU LUMINAIRE
397,1339,1,BAZAR NACIRIA
398,1340,1,TWIZRA ENSEMLE ARTISANAL
399,1341,1,BAZAR ATLAS
400,1342,1,RABAT TAPIS
401,1343,1,COFFRE MISTERIEUX
402,1344,1,EL JOULI
403,1345,1,RETREATS SARL / BAZAR JOUTI
404,1346,1,DAR EL HAJ ALI BABA
405,1347,1,EXPOSITION LA GIRALDA
406,1348,1,KECH CONSULTING SARL
407,1349,1,DAR ESSADAKA
408,1350,1,BAZAR MERINIDES
409,1351,1,CASCADE DE LUMIERE
410,1352,1,DAR IBN KHALDOUN
411,1353,1,ECOLE BERBERE
412,1354,1,DESIGN COOK
413,1355,1,"MAROUANI ADIL""BLEU DES FES"""
414,1356,1,BELDI COUNTRY CLUB
415,1357,1,EXPOSITION TOUAREGS
416,1358,1,OROMECANICA
417,1359,1,ANNEES LUMIERES
418,1360,1,BLADI DESING
419,1361,1,GALERIE SANGREAL
420,1362,1,CASARTISAN
421,1363,1,KAYE FARELL
422,1364,1,LUP 31
423,1365,1,DIAS ART
424,1366,1,ORIGINAL MARRAKECH
425,1367,1,FOSSILES MINERAUX -TAHIRI BRAHIM
426,1368,1,FOSSILES ET CERAMIQUES DU SAHARA
427,1369,1,MAROC FOSSILES KASBAH AMMAR BOUCHAIB
428,1370,1,FOSSILES MENERAUX -MRABTI YOUSSEF
429,1371,1,ENTREPRISE AGHSANE
430,1372,1,KECHMANIA
431,1373,1,RIMLAT
432,1374,1,CHEBOUBA SHOP
433,1375,1,MANARE MARBRE
434,1376,1,KHALID MOROCCAN FOSSIL ET MINERALS
435,1377,1,NAJIB AMRAN
436,1378,1,MAISON D'ARTISANAL BERBERE A LA KASBA
